Date,Nume_Sectie,Latitudine,Longitudine,PM2.5,PM10,CO,NO,NO2,NOx,O3,RADIATIE_SOLARA,SO2,TEMPERATURA,UMIDITATE
2/27/2024,B-24,44.4071007,26.113142,9.973913043,14.11,,,,,,,,,
2/28/2024,B-24,44.4071007,26.113142,14.33478261,19.14,,,,,,,,,
2/29/2024,B-24,44.4071007,26.113142,15.09608696,18.89,,,,,,,,,
3/1/2024,B-24,44.4071007,26.113142,11.70391304,14.62,,,,,,,,,
3/2/2024,B-24,44.4071007,26.113142,16.60086957,21.03,,,,,,,,,
3/3/2024,B-24,44.4071007,26.113142,23.00826087,28.63,,,,,,,,,
3/4/2024,B-24,44.4071007,26.113142,19.81217391,24.72,,,,,,,,,
3/5/2024,B-24,44.4071007,26.113142,15.55086957,20.66,,,,,,,,,
3/6/2024,B-24,44.4071007,26.113142,24.34043478,30.66,,,,,,,,,
3/7/2024,B-24,44.4071007,26.113142,22.31652174,29.05,,,,,,,,,
3/8/2024,B-24,44.4071007,26.113142,25.21,32.09,,,,,,,,,
3/9/2024,B-24,44.4071007,26.113142,29.75086957,36.43,,,,,,,,,
3/10/2024,B-24,44.4071007,26.113142,33.51086957,39.88,,,,,,,,,
3/11/2024,B-24,44.4071007,26.113142,20.44130435,25.32,,,,,,,,,
3/12/2024,B-24,44.4071007,26.113142,12.51913043,15.23,,,,,,,,,
3/13/2024,B-24,44.4071007,26.113142,15.61,17.97,,,,,,,,,
3/14/2024,B-24,44.4071007,26.113142,8.01,9.79,,,,,,,,,
3/15/2024,B-24,44.4071007,26.113142,24.18913043,28.73,,,,,,,,,
3/16/2024,B-24,44.4071007,26.113142,24.40652174,28.87,,,,,,,,,
3/17/2024,B-24,44.4071007,26.113142,22.24217391,27.14,,,,,,,,,
3/18/2024,B-24,44.4071007,26.113142,19.62652174,23.2,,,,,,,,,
3/19/2024,B-24,44.4071007,26.113142,11.74565217,15.49,,,,,,,,,
3/20/2024,B-24,44.4071007,26.113142,16.33869565,19.7,,,,,,,,,
3/21/2024,B-24,44.4071007,26.113142,8.186521739,9.51,,,,,,,,,
3/22/2024,B-24,44.4071007,26.113142,13.81173913,17.38,,,,,,,,,
3/23/2024,B-24,44.4071007,26.113142,19.10043478,24.42,,,,,,,,,
